v1,v2
ham,Call me when you reach.
ham,"Hey, are we still meeting for lunch today?"
spam,Free entry to win a brand new iPhone. Limited time!
spam,Your account is compromised. Reset password now!
spam,Grab your reward instantly. Offer expires soon.
spam,Lowest insurance rates available now.
ham,Will talk later.
spam,Lowest insurance rates available now.
ham,Don't forget the meeting at 3 PM.
ham,Good morning! Have a great day.
spam,Hurry! Your free trial is ending soon.
ham,Don't forget to bring your ID card.
ham,Let’s catch up this weekend.
ham,I will be late today.
ham,I will be late today.
spam,Hurry! Your free trial is ending soon.
spam,Urgent reminder: Your payment is pending.
spam,Hurry! Your free trial is ending soon.
spam,Final warning: Your subscription is ending.
ham,Don't forget the meeting at 3 PM.
ham,Can you share the pdf?
ham,Check your email for the report.
spam,Win a Disney trip for two! Limited time offer.
ham,Please send me the assignment notes.
spam,Get cheap loans approved instantly. Apply now!
spam,Congratulations! You won a free lottery. Claim now!
ham,I will send you the details tonight.
spam,Free vacation package available. Claim now.
spam,Hurry! Your free trial is ending soon.
spam,You won! Confirm your email to receive prize.
ham,Will talk later.
spam,Exclusive deal just for you. Click quick!
spam,You have been selected for a $1000 gift card. Click now!
ham,Let's go out for dinner.
spam,Hurry! Your free trial is ending soon.
spam,Lowest insurance rates available now.
ham,Let’s catch up this weekend.
spam,Free vacation package available. Claim now.
ham,Thanks for helping me yesterday.
ham,Thanks for helping me yesterday.
spam,Free entry to win a brand new iPhone. Limited time!
spam,Your loan is pre-approved. Contact us!
ham,Can you share the pdf?
ham,See you in class tomorrow.
ham,I will be late today.
ham,Are you coming to class today?
ham,Can you share the pdf?
ham,Where should we meet?
spam,You have been selected for a $1000 gift card. Click now!
ham,Good morning! Have a great day.
spam,Exclusive offer! Buy 1 get 1 free.
ham,Are you coming to class today?
ham,See you in class tomorrow.
ham,Did you complete the homework?
ham,Let's go to the gym tomorrow morning.
spam,Hurry! Your free trial is ending soon.
ham,Can you call me back when you are free?
ham,I will send you the details tonight.
spam,Urgent reminder: Your payment is pending.
ham,Don't forget the meeting at 3 PM.
ham,Good morning! Have a great day.
ham,Let’s plan something fun.
spam,Lowest insurance rates available now.
spam,Important notice: Update your card details immediately.
ham,Let's go to the gym tomorrow morning.
ham,Let's go to the gym tomorrow morning.
spam,Free vacation package available. Claim now.
spam,Urgent reminder: Your payment is pending.
ham,Thanks for helping me yesterday.
spam,Hurry! Your free trial is ending soon.
spam,Exclusive deal just for you. Click quick!
ham,I will send you the details tonight.
ham,Call me when you reach.
ham,"Hey, are we still meeting for lunch today?"
ham,Where should we meet?
ham,Where should we meet?
spam,Congratulations! You won a free lottery. Claim now!
ham,Please send me the assignment notes.
spam,Final warning: Your subscription is ending.
ham,Will talk later.
spam,VIP access unlocked. Click to continue.
ham,I will send you the details tonight.
ham,Let's go out for dinner.
ham,Call me when you reach.
spam,Exclusive deal just for you. Click quick!
ham,Don't forget to bring your ID card.
ham,"I reached home safely, don't worry."
ham,Are you coming to class today?
ham,Did you complete the homework?
